system:index,elevation,latitude,longitude,.geo
69,20,16.47123873,80.69396592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69396591879803,16.471238734300748]}"
70,21,16.47123873,80.69423541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69423541338324,16.471238734300748]}"
71,22,16.47123873,80.69450491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69450490796851,16.471238734300748]}"
72,20,16.47123873,80.6947744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69477440255372,16.471238734300748]}"
73,22,16.47123873,80.6950439,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69504389713893,16.471238734300748]}"
74,21,16.47123873,80.69531339,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6953133917242,16.471238734300748]}"
75,23,16.47123873,80.69558289,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69558288630941,16.471238734300748]}"
76,22,16.47123873,80.69585238,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69585238089468,16.471238734300748]}"
77,21,16.47123873,80.69612188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69612187547989,16.471238734300748]}"
78,22,16.47123873,80.69639137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69639137006516,16.471238734300748]}"
79,23,16.47123873,80.69666086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69666086465037,16.471238734300748]}"
80,20,16.47123873,80.69693036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69693035923558,16.471238734300748]}"
81,22,16.47123873,80.69719985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69719985382085,16.471238734300748]}"
82,21,16.47123873,80.69746935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69746934840606,16.471238734300748]}"
83,20,16.47123873,80.69773884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69773884299133,16.471238734300748]}"
84,21,16.47123873,80.69800834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69800833757654,16.471238734300748]}"
85,20,16.47123873,80.69827783,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6982778321618,16.471238734300748]}"
86,21,16.47123873,80.69854733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69854732674702,16.471238734300748]}"
87,20,16.47123873,80.69881682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69881682133223,16.471238734300748]}"
88,18,16.47123873,80.69908632,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6990863159175,16.471238734300748]}"
89,16,16.47123873,80.69935581,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69935581050271,16.471238734300748]}"
90,15,16.47123873,80.69962531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69962530508798,16.471238734300748]}"
91,16,16.47123873,80.6998948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69989479967319,16.471238734300748]}"
92,17,16.47123873,80.70016429,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70016429425846,16.471238734300748]}"
93,18,16.47123873,80.70043379,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70043378884367,16.471238734300748]}"
94,19,16.47123873,80.70070328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70070328342888,16.471238734300748]}"
95,18,16.47123873,80.70097278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70097277801415,16.471238734300748]}"
96,19,16.47123873,80.70124227,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70124227259936,16.471238734300748]}"
97,20,16.47123873,80.70151177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70151176718463,16.471238734300748]}"
